customer,mrr
BAXTER HEALTHCARE CORP,75208.952
Asia Investment Pte Ltd,67389.37122
STET,41085.77274
Appriss,22500
Eurofins NSC IT Infrastructure Germany GmbH,12600
NATIXIS,9964.69236
"Verity Health System of California, Inc.",9900
"Twenty-First Century Fox, Inc.",9220
"MIMEDIA, INC.",8400
"ATI Holdings, LLC",8350
John Lewis Partnership plc,6425.581272
Novo Nordisk,5820
Rebar Systems LLC,5500
Cloud4C Services Inc.,4500
Vertex Telecom,4448.8
Enfuce Financial Services Oy,4222.3848
Vistara IT,4200
City Network Hosting,4153
"Gurunavi, Inc.",3133.2
Tiger brokers,3132
Devon Energy,3024
"TaaSera, Inc.",2800
CityFibre Limited,2677.89192
Camso Inc.,2677.89192
DSicovery,2550
KYUSHU ELECTRIC POWER CO. INC.,2402.4
The Missing Link Network Integration Pty Ltd - Reseller,2306.7
SumUp Limited,2278.926804
Bexar County,2105.38
Gerdau SA,2093
"OPT Holding,Inc.",2040.9984
"Enzu, Inc.",1900
Ivent Mobile B.V.,1873.34
Textron Inc.,1844.182
Roberts Communications,1760
Phinom AG,1759.3128
Pink Elephant B.V.,1641.43512
"Ennis-Flint, Inc.",1580
DENIC eG,1571.446716
Oxfam GB,1559.83806
Telecom Cambodia,1500
COMMUNICATIONS AND COMMUNICATE NEPAL PVT. LTD,1491.852
IO Cooperative Inc.,1450
KOSC,1417.41792
OneNet Limited,1363.05
"Applied Pathways, LLC",1300
EPI-USE Labs LLC,1300
Milan Industries Pty. Ltd.,1293.15
American Psychiatric Association,1260
n-markets GmbH,1216.29678
Asema,1187.97
VANTAGE COMMUNICATIONS,1100
Esecurity S.A.,1000
Pacific Textiles Limited,1000
"Mimosa Networks, Inc.",975
Zeara Managed Services PTY LTD,908.7
Skyfiber,675
DATATEC LTD,664.05
Fortanix,650
DSMI,617.484178
EmagiTek Pty Ltd,594.15
Freepoint Commodities LLC,567.6
Network Solutions Group Pty Ltd,559.2
Geiger Maximizing Net-Solutions GmbH,452.56
Eagle Trading Systems Inc.,450
Dragon Capital (Cyprus) Limited,360.9166
IMK Intermediair B.V.,55.4386
DELTA BLOC Nederland B.V,55.4386
Laser Light Communications LLC,60000.00
The Vanguard Group,31250.00
Bidvest,13822.28
Octopus Investments Ltd.,13716.94
Paysafe,11713.28
"Deluxe Entertainment Services Group, Inc.",10849.88
Meijer Great Lakes Limited Partnership,9415.00
Bergerat Monnoyeur,8808.63
Capital Com SV Investments Limited,5181.16
Host Virtual,4950.00
"SCANA Services, Inc",4200.00
CAPITAL SUPPORT LTD,4000.00
York Capital Management (US) Advisors L.P.,3910.00
KONE,3902.63
Prime Care Technologies,3549.96
"Ube Industries, Ltd.",2879.10
Department For Work & Pensions,2677.89
"Arvest Bank Operations, Inc.",2650.00
IMPERIUM SOLUTIONS PRIVATE LIMITED,2577.47
HIAG Data AG,2500.80
"VideoAmp, Inc.",2500.00
Reserve Long Distance Inc.,1800.00
HONG KONG SYSCLOUD TECHNOLOGY LIMITED,1750.00
Luxonics GmbH,1736.70
Global Digital Group Limited,1670.00
Payworks GmbH,1617.34
"Regency Integrated Health Services, LLC",1500.00
SIMCENTRIC SOLUTIONS LIMITED,1144.00
PT INDOSAT TBK (INDONESIA),1000.00
BitGo,1000.00
FNE Finland Oy,791.13
"NuWave Investment Management, LLC",780.00
Static1 LLC,720.00
Oxford Nanopore Technologies,650.01
Topicus Zorg 1e lijn BV,610.96
FIGARO CLASSIFIED,339.42
Banque Thaler SA,208.40
BECU (Boeing Employee Credit Union),40656.00
Allianz SE ,16039.16
Shearman & Sterling,11884.23
LVMH Moët Hennessy - Louis Vuitton,11363.78
"Ahead, LLC",8620.00
Brown & Brown,8300.00
ARUP GROUP LIMITED,8125.00
"KRONOS, INC.",7958.45
Zenedge Inc.,7852.50
"BARRACUDA NETWORKS, INC",7560.00
Arnstein & Lehr,7200.00
United Services Automobile Association,6899.38
LEK Consulting,5869.86
Euroclear Group,5698.00
Kohl's Corporation,4980.00
Delfi Limited,4479.76
GraphSQL,4100.00
"EXTREME NETWORKS, INC.",3690.00
"Freebit Co., Ltd.",3301.20
Microsystems,3200.00
CMC Markets UK Plc,3089.40
BIOGEN,2925.00
"SHANGHAI SHUANGYU COMMUNICATION TECHNOLOGY CO.,LTD",2775.00
Assured Data Protection,2600.00
Trustaff,2500.00
BOS GmbH & Co. KG,2178.24
JF-Group B.V.,2056.32
FAR EASTONE TELECOMMUNICATIONS CO. LTD. (JP),2040.00
Infinite Networks Pty Ltd,2027.10
NTE Marked AS,1933.56
IT Blueprint Solutions Consulting,1840.69
GLOBETOUCH INC,1790.00
"CityLink Telecommunications NM, LLC",1790.00
Katana1 Pty Ltd,1764.98
"Shenzhen OneThing Technology Co., Ltd.",1740.00
MUNDIO MOBILE,1669.28
SINGAPORE TECHNOLOGIES ENGINEERING LTD,1650.42
Lightwire Ltd,1534.31
Kennametal Inc.,1527.39
2IDM,1527.39
The Smith Family,1523.82
Sonet Global Technology Limited,1500.00
Stranetix Pte Ltd,1456.83
BARC Connects,1440.00
DIGICALL NETWORK PTY LTD,1370.04
Enseva Networks,1325.00
"Converge ICT Solutions, Inc.",1225.70
Link11 GmbH,1191.45
ALLBRIGHT NETWORK TECHNOLOGY COMPANY LIMITED,1143.00
CIBT,1031.03
InfoWest Inc,1000.00
Hoyos Consulting LLC,990.00
THE SOMERVILLE GROUP PTY LTD,803.85
Quest Nutrition,739.20
Blue Chip Computer Systems,660.00
"Data Based Ads, Inc.",650.01
"CyberNet Communications, Inc.",540.00
Hillsong Church Ltd,447.36
"CDT Technologies, Ltd.",375.00
Kepler Cheuvreux,254.57
