customer,mrr
PRODEGE LLC,45754.52
GENERALE DE SANTE,44392.77574
F2 Technology Inc.,18550
"SEV1 TECH, INC.",15760.25
Sulzer Management AG,14379.6
MINISTÉRIO PÚBLICO DE SANTA CATARINA - PROCURADORIA-GERAL DE JUSTIÇA,9382.23762
Tera Comércio e Serviços de Telecomunicações Ltda - ME,9145.911255
O ESTADO DE S. PAULO,5269.041015
"Creative Hairdressers, Inc.",5140.64
GENTAY COMMUNICATIONS PTE. LTD.,4825.756
"BeijingYuanding Technology Co.,Ltd",4800.845607
2SMS.COM LIMITED,4048.4
WIREFAST LIMITED,3577.25
RH Med Consultores Associados Ltda,3261.14589
Iq-Up tecnologia,3157.29696
Haud Systems Limited,2936.66184
VODIEN INTERNET SOLUTIONS PTE LTD,2613.8928
DATATRADE MANAGED AG,2533.28956
LAGEN S.A,1938.12
Endurance Group Brasil Hospedagem de Sites LTDA,1902.613425
THE COMMUNITY HEALTH ACCREDITATION PROGRAM (CHAP) INC.,1812.31
HRT O&G Exploração e Produção de Petróleo LTDA,1594.670565
SECURSTORE UK LTD.,1561.94
SKILA,1427.75
LANE CRAWFORD DEPARTMENT STORE (BEIJING) LIMITED,1302.359
THALASSO N1,1270.347234
INTELLICOMM INC.,1004.24
Ashstone Ltd.,923.9446858
Light Serviços de Eletricidade S/A,874.26354
Ennovativ,675
EXP (CAPITAL) LIMITED,579.2625
E O. X. Schuindt Lingerie industria e comércio de artigos do vestuário - ME,511.73361
Droga Knox Ltda,498.06117
Intec Trade Inc.,497.816
Sosel Soluções em Serviços e Eqto Ltda,490.777515
"INDOPIA, INC.",441
Kienhuis Hoving Advocaten en Notarissen,393.7272
MAXXI QUIMICA COMERCIAL LTDA,296.08461
Norte Salineira SA Inustria e Comércio - Norsal,293.44401
Doji Star Graphies Ltda,237.67845
Telecom North America Inc.,214.966
ARKIA INFORMATIESYSTEMEN,180.367788
ConnectConsult - Comércio e Serviços de TI Ltda. - ME,141.186525
Alamid LTD,10933.85
W2W E-COMMERCE DE VINHOS S.A.,6125.04
Módulo Security Solutions S.A.,3969.02
Radian Group,3937.50
Aspen Comércio e Serviços de Automóveis Ltda,2508.63
"Fortuna Oak, LLC",2103.93
ABOLICAO COMERCIO DE MOTOS,1785.97
Transition Therapeutics Ireland Limited,1565.00
MOBARA VEICULOS LTDA,1439.67
SYSARC,1276.29
FINANCIAL CONTENT,1266.36
TELEINFO TECHNOLOGY AND SERVICES PTE LTD,1066.01
SECURITY ONLINE SOLUTIONS INC.,1054.75
ACG ADMINISTRADORA DE CARTOES S/A,816.50
SBE -08 Participações Ltda,762.96
CSU Cardsystem S/A.,729.05
"X PLUS ONE SOLUTIONS, INC",486.50
ABOLIÇÃO VEÍCULOS LTDA,456.62
DONN SOLUCOES EM TECNOLOGIA LTDA,451.24
SCALA COMERCIO E SERVICOS DE AUTOMOVEIS LTDA,344.00
MYGATE Management AG,271.54
Golden Cross Assistência Internacional,245.49
SUPRANET AG,107.74
CrossLines LTD,79.48
mt&v,55.44
LIQUIDITY SERVICES PO #R500,18874.80
GALAX TECNOLOGIA E INFORMATICA LTDA ME,7873.34
Associação Pai Eterno e Perpétuo Socorro,5800.57
"CATHAY UNITED COMMERCIAL BANK CO., LTD",3449.46
Julio Bogoricin Imóveis,2546.84
The World Bank Group,2469.62
VolumeDrive Inc,1700.00
NIDO Informatica Ltda,1403.35
FUNDAÇÃO CULTURAL DOM MANOEL PEDRO DA CUNHA CINTRA,1102.32
PRIVATE LAYER INC,1089.54
Tecnologia Bancária S.A,986.14
VOCALCOM CORPORATION,859.95
Akella Impex LTD,822.63
Stratolaunch Systems,771.76
"Orange Espagne, S.A.U.",660.34
LCR COMUNICACAO MULTIMIDIA LTDA,623.34
NEW GROUP TELECOMUNICACOES LTDA ME,527.58
Select Com. e Rep. LTDA.,527.05
"DURAND TAVOLA INTERNET, INC",393.75
DIRECT DATA GROUP,364.65
NEILSON FINANCIAL SERVICES LTD,293.49
Buysoft do Brasil Ltda,168.86
Macron Ind. Gráfica Ltda.,27.82
